# dir	домен	порт	основной_сервер
claude-ios	broadnova.shop	18001	B
orvianix	orvianix.shop	18003	B
elvarixa	elvarixa.shop	18004	A
corvionet	corvionet.shop	18005	A
modavira	modavira.shop	18006	B
artolixo	artolixo.shop	18007	A
lunexoro	lunexoro.shop	18008	B
ravionet	ravionet.shop	18009	B
vireluma	vireluma.shop	18010	B
taluneri	taluneri.shop	18011	B
webmoria	webmoria.shop	18012	B
velunixa	velunixa.shop	18013	B
ravelumi	ravelumi.shop	18014	B
qorimelo	qorimelo.shop	18015	B
zenquelo	zenquelo.shop	18016	B
novirell	novirell.shop	18017	B
selquro	selquro.shop	18018	B
marqelio	marqelio.shop	18019	B
livonexa	livonexa.shop	18020	B
lumirexa	lumirexa.shop	18021	A
qoravena	qoravena.shop	18022	B
benovalo	benovalo.shop	18023	A
appbackend	appbackend.shop	18024	B
stackstores	stackstores.shop	18025	B
codecarts	codecarts.shop	18026	B
devsupplyr	devsupplyr.shop	18027	A
avelyra	avelyraweb.shop	18002	B
favorappbek	favorappbek.shop	18028	A
probotit	probotit.shop	18029	A
probotappbek	probotappbek.shop	18030	A
newweraar	newweraar.shop	18031	A
fanappsnew	fanappsnew.shop	18032	A
newnewappps	newnewappps.shop	18033	A
belunexa	belunexa.shop	18034	A
joraliqo	joraliqo.shop	18035	A
reluniqo	reluniqo.shop	18036	A
boraveli	boraveli.shop	18037	A
firunavo	firunavo.shop	18038	A
