# инстанс  порт_api  порт_postgres
claude-ios 18001 15001
avelyra 18002 15002
orvianix 18003 15003
elvarixa 18004 15004
corvionet 18005 15005
modavira 18006 15006
artolixo 18007 15007
lunexoro 18008 15008
ravionet 18009 15009
vireluma 18010 15010
taluneri 18011 15011
webmoria 18012 15012
velunixa 18013 15013
ravelumi 18014 15014
qorimelo 18015 15015
zenquelo 18016 15016
novirell 18017 15017
selquro 18018 15018
marqelio 18019 15019
livonexa 18020 15020
lumirexa 18021 15021
qoravena 18022 15022
benovalo 18023 15023
appbackend 18024 15024
stackstores 18025 15025
codecarts 18026 15026
devsupplyr 18027 15027
favorappbek 18028 15028
